"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Goblin Surveyor","R","C","348357","6.99","41553","10.16","101055","40.5%","52.9%","17736","51.3%","24127","51.7%","41863","51.6%","59099","53.9%","-2.4pp"
"Greasewrench Goblin","R","U","91304","3.82","20462","4.83","107477","85.9%","55.5%","19248","60.0%","27340","55.7%","46588","57.5%","60569","54.0%","3.5pp"
"Hazoret, Godseeker","R","M","7404","1.65","4042","1.62","20894","84.7%","54.8%","3639","56.8%","5375","58.5%","9014","57.8%","11693","52.3%","5.5pp"
"Howlsquad Heavy","R","R","16891","1.84","9500","1.80","52393","88.5%","56.9%","9456","65.4%","13511","59.3%","22967","61.8%","29221","52.9%","8.9pp"
"Kickoff Celebrations","R","C","346418","7.06","41327","10.23","86226","34.9%","52.0%","15384","49.7%","22931","52.5%","38315","51.4%","47695","52.4%","-1.0pp"
"Lightning Strike","R","C","197028","3.39","43626","4.37","234825","89.2%","54.3%","40891","53.6%","59959","55.6%","100850","54.8%","132972","53.9%","0.9pp"
"Magmakin Artillerist","R","C","337203","6.91","40099","9.89","98119","41.5%","50.7%","16893","47.0%","29088","52.7%","45981","50.6%","51760","50.8%","-0.2pp"
"Marauding Mako","R","U","103876","4.61","18303","5.98","72635","66.5%","54.0%","13084","58.4%","21312","54.7%","34396","56.1%","37912","52.0%","4.1pp"
"Outpace Oblivion","R","U","67627","2.87","19530","3.46","106422","90.5%","54.3%","18392","53.8%","27466","56.0%","45858","55.1%","59838","53.6%","1.5pp"
"Pacesetter Paragon","R","U","114068","4.92","15117","6.99","60017","66.8%","52.9%","10422","50.5%","14564","52.2%","24986","51.5%","34964","54.0%","-2.5pp"
"Pedal to the Metal","R","C","360778","7.78","41585","11.24","57037","22.9%","52.7%","9294","48.8%","13653","53.0%","22947","51.3%","34033","53.6%","-2.3pp"
"Prowcatcher Specialist","R","C","321493","5.99","41066","8.66","153750","62.8%","53.1%","27341","52.6%","37227","52.1%","64568","52.3%","88966","53.7%","-1.4pp"
