"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Scrap Compactor","","C","341157","6.05","51202","8.80","176403","57.1%","54.0%","31636","51.7%","45029","55.3%","76665","53.8%","97602","54.0%","-0.1pp"
"Skybox Ferry","","C","366454","7.76","42192","11.21","45738","18.1%","50.6%","8073","47.3%","12386","52.3%","20459","50.3%","24464","50.5%","-0.1pp"
"Starting Column","","C","346794","6.52","49961","9.32","131489","43.7%","53.5%","23875","53.7%","34308","54.3%","58183","54.1%","72653","53.0%","1.0pp"
"Ticket Tortoise","","C","361351","7.27","47233","10.49","98276","34.5%","53.6%","18122","51.6%","25024","54.6%","43146","53.3%","54800","53.8%","-0.4pp"
"Walking Sarcophagus","","C","355999","6.91","46275","10.05","118987","42.6%","53.3%","22175","52.6%","28862","53.1%","51037","52.9%","67727","53.6%","-0.7pp"
"Wreck Remover","","C","367434","7.62","46475","11.02","70208","25.1%","52.6%","12343","50.3%","18278","54.1%","30621","52.5%","38018","52.5%","0.1pp"
"Amonkhet Raceway","","U","150051","7.29","15640","10.97","20692","22.0%","53.5%","3543","51.1%","5007","52.9%","8550","52.1%","12112","54.4%","-2.3pp"
"Avishkar Raceway","","C","364626","7.66","40865","11.18","78300","31.9%","53.2%","13009","52.2%","20215","53.1%","33224","52.8%","44892","53.5%","-0.8pp"
"Bleachbone Verge","","R","51792","4.14","8054","6.10","26631","54.6%","54.1%","4865","54.5%","6526","54.9%","11391","54.7%","15164","53.6%","1.2pp"
"Bloodfell Caves","","C","179373","6.62","28906","9.32","90890","51.8%","54.1%","16953","56.2%","21768","52.4%","38721","54.0%","52005","54.1%","-0.1pp"
"Blossoming Sands","","C","176991","6.38","26902","9.15","95164","57.9%","55.3%","17633","56.9%","21788","53.1%","39421","54.8%","55539","55.6%","-0.8pp"
"Country Roads","","U","150405","7.35","17475","10.78","49565","47.0%","54.8%","8678","54.2%","11749","53.0%","20427","53.5%","29050","55.7%","-2.2pp"
"Dismal Backwater","","C","174232","6.11","33522","8.47","129314","63.7%","54.4%","23714","56.3%","32654","54.8%","56368","55.4%","72426","53.6%","1.8pp"
"Foul Roads","","U","152504","7.36","20458","10.62","63217","50.7%","55.4%","11135","55.6%","14863","54.4%","25998","54.9%","37135","55.7%","-0.8pp"
"Jungle Hollow","","C","173101","5.97","31295","8.41","130471","68.0%","55.7%","24238","57.3%","30066","53.9%","54304","55.4%","75875","55.9%","-0.5pp"
"Muraganda Raceway","","R","59342","4.98","6277","7.90","11783","31.3%","52.2%","1926","51.8%","2977","50.6%","4903","51.1%","6857","53.1%","-2.0pp"
"Night Market","","C","292233","4.67","61786","6.61","357864","95.0%","55.5%","66564","56.0%","88409","54.9%","154973","55.4%","202073","55.6%","-0.2pp"
"Reef Roads","","U","151985","7.46","20584","10.70","62686","50.3%","54.7%","11043","54.3%","16881","55.7%","27924","55.1%","34547","54.3%","0.8pp"
"Riverpyre Verge","","R","52220","4.19","8400","6.11","29393","58.2%","54.0%","5407","55.1%","7990","54.4%","13397","54.6%","15832","53.4%","1.2pp"
"Rocky Roads","","U","152023","7.43","17874","10.87","45989","42.7%","53.6%","8058","54.2%","11376","51.0%","19434","52.3%","26501","54.6%","-2.2pp"
"Rugged Highlands","","C","173350","6.09","28033","8.64","106105","62.0%","54.9%","19822","56.8%","25337","52.7%","45159","54.5%","60693","55.2%","-0.7pp"
"Scoured Barrens","","C","178923","6.52","29530","9.14","99529","55.5%","54.5%","18272","56.4%","24088","54.1%","42360","55.1%","56932","54.1%","1.0pp"
"Sunbillow Verge","","R","52869","4.27","7152","6.36","20601","48.1%","52.8%","3802","54.6%","4941","51.1%","8743","52.6%","11826","53.0%","-0.4pp"
"Swiftwater Cliffs","","C","176346","6.39","29983","8.94","108341","60.1%","54.2%","19815","56.4%","29623","54.0%","49438","55.0%","58500","53.5%","1.5pp"
"Thornwood Falls","","C","171998","5.93","32563","8.30","133091","66.9%","55.7%","24824","57.7%","33505","55.0%","58329","56.2%","74240","55.3%","0.9pp"
"Tranquil Cove","","C","178688","6.56","29813","9.16","102158","56.6%","54.2%","19029","56.3%","27152","54.6%","46181","55.3%","55588","53.3%","2.0pp"
"Wastewood Verge","","R","48345","3.83","8732","5.50","34987","66.0%","55.1%","6527","56.4%","8250","54.6%","14777","55.4%","20104","54.9%","0.5pp"
"Wild Roads","","U","148554","6.85","19869","9.98","75385","61.8%","56.2%","13478","56.1%","17708","54.8%","31186","55.4%","44013","56.8%","-1.4pp"
"Willowrush Verge","","R","49478","3.89","9166","5.57","35379","64.4%","54.7%","6600","56.5%","9050","55.2%","15650","55.8%","19504","53.9%","1.9pp"
"Wind-Scarred Crag","","C","179985","6.75","24564","9.64","71668","48.5%","52.6%","13177","54.6%","17096","51.0%","30273","52.6%","41287","52.6%","-0.0pp"
"Cavalier of Dawn","W","M","1838","2.27","641","2.41","3102","78.4%","56.8%","515","58.6%","821","63.5%","1336","61.6%","1750","53.0%","8.6pp"
"Thoughtcast","U","C","4565","4.87","726","6.84","2570","58.9%","52.1%","444","","715","52.9%","1159","49.7%","1391","53.8%","-4.1pp"
"Whir of Invention","U","R","4497","5.10","531","7.68","401","12.7%","","59","","114","","173","","227","",""
"Bone Miser","B","R","2849","3.33","575","4.06","1436","43.4%","47.6%","238","","389","","627","46.9%","800","48.0%","-1.1pp"
"Lord of the Undead","B","R","3450","3.98","563","5.40","1563","46.8%","52.6%","302","","370","","672","50.1%","882","54.0%","-3.8pp"
"Chandra's Ignition","R","R","2123","2.60","702","2.77","3305","77.9%","54.3%","521","55.9%","819","58.2%","1340","57.3%","1942","52.2%","5.1pp"
"Galvanic Blast","R","C","3389","3.63","733","4.62","3671","84.0%","54.0%","644","53.1%","957","56.0%","1601","54.8%","2061","53.3%","1.6pp"
"Pathbreaker Ibex","G","R","1711","2.17","688","2.31","3789","89.2%","56.3%","676","54.4%","930","59.4%","1606","57.3%","2144","55.2%","2.1pp"
"Chrome Mox","","M","2517","3.12","451","","1103","41.9%","50.5%","187","","289","","476","","624","52.9%",""
"Skysovereign, Consul Flagship","","M","784","1.05","750","1.05","4987","100.0%","60.6%","868","67.1%","1255","65.6%","2123","66.2%","2453","53.5%","12.7pp"
